rang;nom;prenom;pays;points ELO;naissance
1;Carlsen;Magnus;NOR;2831;1990
2;Caruana;Fabiano;USA;2803;1992
3;Nakamura;Hikaru;USA;2802;1987
4;Erigaisi;Arjun;IND;2801;2003
5;Gukesh;Dommaraju;IND;2777;2006
6;Abdusattorov;Nodirbek;UZB;2768;2004
7;Firouzja;Alireza;FRA;2763;2003
8;Nepomniachtchi;Ian;RUS;2754;1990
9;Wei;Yi;CHN;2751;1999
10;Anand;Viswanathan;IND;2750;1969
11;Aronian;Levon;USA;2747;1982
12;So;Wesley;USA;2747;1993
13;Praggnanandhaa;Rameshbabu;IND;2741;2005
14;Dominguez Perez;Leinier;USA;2741;1983
15;Duda;Jan-Krzysztof;POL;2740;1998
16;Le;Quang Liem;VIE;2739;1991
17;Ding;Liren;CHN;2734;1992
18;Niemann;Hans Moke;USA;2734;2003
19;Â Vachier-Lagrave;Maxime;FRA;2733;1990
20;Keymer;Vincent;GER;2733;2004
21;Mamedyarov;Shakhriyar;AZE;2732;1985
22;Giri;Anish;NED;2731;1994
23;Aravindh;Chithambaram;IND;2726;1999
24;Vidit;Santosh Gujrathi;IND;2721;1994
25;Rapport;Richard;HUN;2721;1996
26;Fedoseev;Vladimir;SLO;2717;1995
27;Topalov;Veselin;BUL;2717;1975
28;Yu;Yangyi;CHN;2715;1994
29;Dubov;Daniil;RUS;2701;1996
30;Wang;Hao;CHN;2701;1989
31;Esipenko;Andrey;FID;2699;2002
32;Radjabov;Teimour;AZE;2698;1987
33;Svidler;Peter;FID;2698;1976
34;Deac;Bogdan-Daniel;ROU;2696;2001
35;Andreikin;Dmitry;FID;2695;1990
36;Harikrishna;Pentala;IND;2695;1986
37;Sindarov;Javokhir;UZB;2692;2005
38;Sevian;Samuel;USA;2692;2000
39;Artemiev;Vladislav;RUS;2691;1998
40;Robson;Ray;USA;2689;1994
